                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4051,                 1.8061,                 1.3448,                0.81318,                0.68247,                0.76381,                0.54305,                 1.0811,                0.85734,                 1.1769,               0.070173,              0.0033141,              0.0033141
                      1,                 1.1516,                0.87022,                 1.1851,                0.89023,                0.70631,                0.80127,                0.55291,                 1.1301,                0.81069,                 1.2107,               0.040141,              0.0066145,              0.0066145
                      2,                 1.1964,                0.89307,                 1.2148,                  0.767,                0.60629,                0.67672,                0.42333,                 1.3664,                 1.3788,                 1.4215,               0.010075,              0.0098819,              0.0098819
                      3,                 1.2242,                0.92246,                 1.2451,                0.83529,                0.65178,                0.75134,                0.49566,                 1.3004,                 0.9713,                 1.3682,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.1744,                0.85697,                  1.224,                0.81856,                0.66445,                0.73049,                0.47033,                 1.3417,                0.97516,                 1.3679,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1212,                 0.7934,                 1.1955,                0.84362,                0.64728,                 0.7348,                0.47782,                 1.2997,                0.95265,                 1.3364,               0.009802,               0.009802,               0.009802
                      6,                 1.0712,                0.74032,                 1.1661,                0.91802,                0.72179,                0.82741,                0.58406,                 1.1227,                0.70593,                  1.245,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.036,                0.70486,                 1.1481,                0.90575,                0.73961,                0.83006,                0.58849,                  1.107,                 0.6908,                 1.2276,               0.009703,               0.009703,               0.009703
                      8,                0.99329,                0.66641,                 1.1286,                0.85579,                0.69459,                0.76755,                0.52732,                 1.1645,                0.84311,                 1.2996,              0.0096535,              0.0096535,              0.0096535
                      9,                0.96384,                0.63916,                 1.1083,                0.89613,                0.75661,                0.83945,                0.59578,                 1.1124,                0.65851,                 1.2478,               0.009604,               0.009604,               0.009604
                     10,                0.93544,                0.61576,                 1.0922,                0.88353,                0.75351,                0.83104,                0.59919,                 1.0838,                0.67609,                 1.2251,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91346,                0.59817,                 1.0781,                0.88702,                0.77464,                0.84451,                 0.5998,                 1.0873,                0.64584,                  1.231,               0.009505,               0.009505,               0.009505
                     12,                0.88826,                0.57298,                 1.0647,                0.92223,                 0.7385,                0.84435,                0.60856,                 1.0638,                0.65769,                 1.2307,              0.0094555,              0.0094555,              0.0094555
                     13,                0.86126,                0.55599,                 1.0526,                0.89249,                0.76718,                0.84248,                 0.6057,                 1.0499,                0.62625,                 1.2288,               0.009406,               0.009406,               0.009406
                     14,                 0.8476,                0.54272,                 1.0427,                0.90713,                  0.772,                0.84557,                0.60089,                  1.066,                0.62587,                 1.2418,              0.0093565,              0.0093565,              0.0093565
                     15,                0.83715,                0.53846,                 1.0364,                0.88498,                0.78415,                0.84804,                0.60105,                 1.0792,                0.62055,                 1.2346,               0.009307,               0.009307,               0.009307
                     16,                0.81897,                0.52117,                 1.0264,                0.90495,                0.79361,                0.85879,                0.62724,                 1.0456,                0.60377,                 1.2263,              0.0092575,              0.0092575,              0.0092575
                     17,                0.80208,                0.50959,                  1.021,                0.89609,                0.79195,                0.86085,                 0.6249,                 1.0516,                0.60388,                 1.2254,               0.009208,               0.009208,               0.009208
                     18,                0.78834,                0.50134,                 1.0144,                0.88107,                0.80408,                0.85687,                0.61992,                 1.0678,                 0.6068,                 1.2524,              0.0091585,              0.0091585,              0.0091585
                     19,                0.77269,                0.48873,                 1.0087,                0.89234,                0.79748,                0.86079,                0.62967,                 1.0367,                 0.5826,                 1.2218,               0.009109,               0.009109,               0.009109
                     20,                 0.7609,                0.47927,                0.99698,                0.90621,                0.80779,                0.86585,                0.62371,                  1.053,                0.57993,                 1.2421,              0.0090595,              0.0090595,              0.0090595
                     21,                0.75384,                0.47785,                0.99513,                0.92291,                0.79394,                0.86515,                0.63221,                 1.0231,                0.58077,                 1.2222,                0.00901,                0.00901,                0.00901
                     22,                0.73763,                0.46284,                0.99044,                 0.9034,                0.79265,                0.86429,                0.62991,                 1.0488,                 0.5777,                 1.2499,              0.0089605,              0.0089605,              0.0089605
                     23,                0.72929,                0.45686,                 0.9875,                0.91637,                0.79311,                0.86481,                0.62802,                 1.0336,                 0.5688,                  1.244,               0.008911,               0.008911,               0.008911
                     24,                0.72022,                0.45037,                0.97986,                0.92106,                0.78547,                 0.8584,                0.62678,                 1.0491,                0.57406,                 1.2462,              0.0088615,              0.0088615,              0.0088615
                     25,                0.71005,                0.44558,                0.97781,                 0.9168,                 0.7966,                0.86833,                0.63288,                 1.0253,                0.56719,                 1.2433,               0.008812,               0.008812,               0.008812
                     26,                0.70567,                0.44037,                0.97519,                0.90518,                 0.8062,                0.86888,                0.63339,                 1.0301,                0.57246,                 1.2307,              0.0087625,              0.0087625,              0.0087625
                     27,                0.69402,                0.43498,                 0.9716,                 0.9124,                0.80764,                  0.863,                0.63285,                 1.0239,                0.57273,                 1.2423,               0.008713,               0.008713,               0.008713
                     28,                0.68771,                0.42705,                  0.967,                0.90601,                0.80479,                0.87209,                0.63831,                 1.0325,                0.56434,                 1.2661,              0.0086635,              0.0086635,              0.0086635
                     29,                0.67879,                0.42516,                0.96368,                0.91916,                0.80809,                0.86623,                0.64118,                 1.0197,                0.55426,                 1.2354,               0.008614,               0.008614,               0.008614
                     30,                0.67373,                 0.4216,                 0.9614,                0.89968,                0.79882,                0.86915,                 0.6366,                 1.0203,                0.56279,                 1.2523,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.6698,                0.41742,                0.96125,                0.93675,                0.78573,                0.87878,                0.64235,                 1.0184,                0.56621,                 1.2475,               0.008515,               0.008515,               0.008515
                     32,                0.66197,                0.41229,                0.95415,                0.91079,                0.80092,                0.87397,                 0.6417,                  1.023,                0.54986,                 1.2467,              0.0084655,              0.0084655,              0.0084655
                     33,                 0.6543,                0.40702,                0.94842,                0.90195,                0.79775,                0.86563,                0.63916,                 1.0046,                0.56269,                 1.2402,               0.008416,               0.008416,               0.008416
                     34,                0.64948,                0.40268,                0.95212,                0.91138,                0.79445,                0.86531,                0.63433,                 1.0134,                0.55746,                 1.2472,              0.0083665,              0.0083665,              0.0083665
